0it [00:00, ?it/s]
1788it [00:22, 85.81it/s]
1797it [00:22, 85.27it/s]
1806it [00:22, 85.62it/s]
1816it [00:22, 88.29it/s]
1825it [00:23, 84.92it/s]
1834it [00:23, 84.87it/s]
1844it [00:23, 86.25it/s]
1854it [00:23, 87.44it/s]
1863it [00:23, 86.17it/s]
1872it [00:23, 84.69it/s]
1882it [00:23, 87.89it/s]
1893it [00:23, 92.55it/s]
1903it [00:23, 89.49it/s]
1913it [00:24, 86.80it/s]
1922it [00:24, 86.80it/s]
1932it [00:24, 87.35it/s]
1941it [00:24, 85.55it/s]
1950it [00:24, 85.09it/s]
1960it [00:24, 85.10it/s]
1969it [00:24, 83.71it/s]
1978it [00:24, 85.07it/s]
1987it [00:24, 83.01it/s]
1996it [00:25, 83.18it/s]
2005it [00:25, 83.07it/s]
2014it [00:25, 82.83it/s]
2023it [00:25, 54.98it/s]
2033it [00:25, 63.19it/s]
2043it [00:25, 69.40it/s]
2052it [00:25, 72.62it/s]
2061it [00:25, 76.99it/s]
2070it [00:26, 77.14it/s]
2080it [00:26, 80.55it/s]
2090it [00:26, 84.87it/s]
2100it [00:26, 86.98it/s]
2109it [00:26, 87.56it/s]
2118it [00:26, 86.39it/s]
2127it [00:26, 83.54it/s]
2136it [00:26, 82.09it/s]
2145it [00:26, 80.66it/s]
2154it [00:27, 82.42it/s]
2164it [00:27, 85.26it/s]
2173it [00:27, 84.65it/s]
2183it [00:27, 87.57it/s]
2193it [00:27, 88.59it/s]
2202it [00:27, 88.89it/s]
2211it [00:27, 86.67it/s]
2221it [00:27, 88.57it/s]
2230it [00:27, 87.57it/s]
2239it [00:28, 87.64it/s]
2250it [00:28, 91.99it/s]
2260it [00:28, 93.88it/s]
2270it [00:28, 91.24it/s]
2280it [00:28, 92.94it/s]
2290it [00:28, 86.80it/s]
2301it [00:28, 91.09it/s]
2311it [00:28, 85.57it/s]
2320it [00:28, 83.77it/s]
2329it [00:29, 84.20it/s]
2338it [00:29, 84.02it/s]
2347it [00:29, 84.41it/s]
2356it [00:29, 80.23it/s]
2365it [00:29, 82.39it/s]
2374it [00:29, 82.18it/s]
2383it [00:29, 81.58it/s]
2392it [00:29, 81.60it/s]
2401it [00:29, 82.46it/s]
2411it [00:30, 85.38it/s]
2420it [00:30, 85.39it/s]
2430it [00:30, 87.62it/s]
2439it [00:30, 87.36it/s]
2448it [00:30, 86.40it/s]
2457it [00:30, 84.64it/s]
2466it [00:30, 85.75it/s]
2475it [00:30, 86.54it/s]
2484it [00:30, 87.08it/s]
2494it [00:31, 88.41it/s]
2503it [00:31, 85.09it/s]
2512it [00:31, 85.30it/s]
2522it [00:31, 87.33it/s]
2532it [00:31, 87.36it/s]
2541it [00:31, 84.37it/s]
2550it [00:31, 83.77it/s]
2560it [00:31, 86.21it/s]
2569it [00:31, 85.17it/s]
2578it [00:31, 85.37it/s]
2587it [00:32, 80.59it/s]
2597it [00:32, 83.66it/s]
2606it [00:32, 83.63it/s]
2616it [00:32, 87.55it/s]
2625it [00:32, 87.58it/s]
2634it [00:32, 88.04it/s]
2645it [00:32, 91.29it/s]
2655it [00:32, 91.14it/s]
2665it [00:32, 91.62it/s]
2675it [00:33, 92.10it/s]
2685it [00:33, 92.50it/s]
2695it [00:33, 90.97it/s]
2705it [00:33, 86.08it/s]
2714it [00:33, 86.27it/s]
2723it [00:33, 85.60it/s]
2733it [00:33, 88.89it/s]
2742it [00:33, 87.94it/s]
2752it [00:33, 90.25it/s]
2763it [00:34, 92.80it/s]
2773it [00:34, 93.82it/s]
2783it [00:34, 91.06it/s]
2793it [00:34, 92.32it/s]
2803it [00:34, 88.74it/s]
2812it [00:34, 84.41it/s]
2821it [00:34, 85.56it/s]
2830it [00:34, 85.53it/s]
2840it [00:34, 87.92it/s]
2849it [00:35, 88.45it/s]
2858it [00:35, 84.70it/s]
2868it [00:35, 87.63it/s]
2877it [00:35, 85.96it/s]
2886it [00:35, 84.67it/s]
2895it [00:35, 85.41it/s]
2904it [00:35, 85.12it/s]
2914it [00:35, 86.61it/s]
2923it [00:35, 83.87it/s]
2932it [00:36, 85.55it/s]
2941it [00:36, 84.96it/s]
2950it [00:36, 85.42it/s]
2960it [00:36, 88.20it/s]
2970it [00:36, 90.59it/s]
2980it [00:36, 88.72it/s]
2989it [00:36, 86.27it/s]
2998it [00:36, 85.96it/s]
3007it [00:36, 85.89it/s]
3017it [00:36, 88.15it/s]
3026it [00:37, 86.61it/s]
3035it [00:37, 87.60it/s]
3045it [00:37, 90.07it/s]
3056it [00:37, 93.57it/s]
3066it [00:37, 92.80it/s]
3076it [00:37, 91.57it/s]
3086it [00:37, 63.23it/s]
3095it [00:37, 69.19it/s]
3105it [00:38, 75.07it/s]
3116it [00:38, 79.87it/s]
3125it [00:38, 78.80it/s]
3134it [00:38, 80.11it/s]
3143it [00:38, 80.76it/s]
3152it [00:38, 81.25it/s]
3161it [00:38, 79.92it/s]
3170it [00:38, 81.54it/s]
3179it [00:39, 81.41it/s]
3188it [00:39, 83.32it/s]
3198it [00:39, 85.59it/s]
3207it [00:39, 85.06it/s]
3216it [00:39, 82.57it/s]
3225it [00:39, 81.66it/s]
3234it [00:39, 82.39it/s]
3243it [00:39, 84.00it/s]
3252it [00:39, 84.63it/s]
3261it [00:39, 85.94it/s]
3270it [00:40, 85.23it/s]
3279it [00:40, 84.69it/s]
3288it [00:40, 85.65it/s]
3298it [00:40, 87.53it/s]
3307it [00:40, 87.13it/s]
3316it [00:40, 84.72it/s]
3325it [00:40, 83.37it/s]
3335it [00:40, 85.65it/s]
3344it [00:40, 84.10it/s]
3353it [00:41, 85.10it/s]
3363it [00:41, 88.09it/s]
3373it [00:41, 89.32it/s]
3383it [00:41, 90.33it/s]
3393it [00:41, 87.95it/s]
3402it [00:41, 87.87it/s]
3411it [00:41, 86.44it/s]
3420it [00:41, 84.22it/s]
3429it [00:41, 84.01it/s]
3438it [00:42, 80.02it/s]
3447it [00:42, 79.92it/s]
3456it [00:42, 81.95it/s]
3465it [00:42, 83.42it/s]
3475it [00:42, 87.31it/s]
3484it [00:42, 87.01it/s]
3494it [00:42, 88.29it/s]
3503it [00:42, 83.96it/s]
3512it [00:42, 84.69it/s]
3521it [00:43, 85.95it/s]
3530it [00:43, 86.45it/s]
3541it [00:43, 90.00it/s]
3552it [00:43, 91.54it/s]
3562it [00:43, 92.61it/s]
3572it [00:43, 88.69it/s]
3581it [00:43, 87.38it/s]
3590it [00:43, 86.87it/s]
3599it [00:43, 83.09it/s]
3609it [00:43, 86.14it/s]
3618it [00:44, 84.91it/s]
3627it [00:44, 81.30it/s]
3636it [00:44, 77.73it/s]
3645it [00:44, 80.48it/s]
3654it [00:44, 81.05it/s]
3663it [00:44, 81.72it/s]
3672it [00:44, 82.77it/s]
3682it [00:44, 86.56it/s]
3691it [00:45, 82.57it/s]
3700it [00:45, 82.43it/s]
3709it [00:45, 83.81it/s]
3718it [00:45, 81.63it/s]
3727it [00:45, 76.71it/s]
3736it [00:45, 78.36it/s]
3744it [00:45, 77.33it/s]
3753it [00:45, 80.20it/s]
3762it [00:45, 81.95it/s]
3771it [00:45, 82.37it/s]
3780it [00:46, 82.27it/s]
3789it [00:46, 80.26it/s]
3798it [00:46, 81.95it/s]
3807it [00:46, 81.17it/s]
3816it [00:46, 80.56it/s]
3825it [00:46, 79.12it/s]
3833it [00:46, 77.08it/s]
3843it [00:46, 80.93it/s]
3853it [00:47, 83.25it/s]
3862it [00:47, 82.15it/s]
3872it [00:47, 84.78it/s]
3881it [00:47, 83.59it/s]
3891it [00:47, 86.71it/s]
3900it [00:47, 85.71it/s]
3909it [00:47, 85.11it/s]
3919it [00:47, 86.83it/s]
3928it [00:47, 84.65it/s]
3937it [00:47, 85.03it/s]
3947it [00:48, 85.55it/s]
3956it [00:48, 82.60it/s]
3965it [00:48, 82.64it/s]
3974it [00:48, 84.03it/s]
3983it [00:48, 83.29it/s]
3992it [00:48, 82.13it/s]
4001it [00:48, 80.18it/s]
4010it [00:48, 82.30it/s]
4021it [00:48, 87.96it/s]
4030it [00:49, 86.75it/s]
4039it [00:49, 87.16it/s]
4048it [00:49, 86.85it/s]
4057it [00:49, 82.26it/s]
4066it [00:49, 81.39it/s]
4076it [00:49, 83.55it/s]
4085it [00:49, 79.46it/s]
4094it [00:49, 81.30it/s]
4103it [00:49, 80.28it/s]
4112it [00:50, 80.78it/s]
4121it [00:50, 81.81it/s]
4130it [00:50, 82.36it/s]
4139it [00:50, 54.86it/s]
4146it [00:50, 58.49it/s]
4155it [00:50, 64.51it/s]
4164it [00:50, 69.44it/s]
4174it [00:51, 75.02it/s]
4185it [00:51, 79.91it/s]
4194it [00:51, 75.36it/s]
4203it [00:51, 78.12it/s]
4212it [00:51, 77.50it/s]
4220it [00:51, 77.13it/s]
4229it [00:51, 78.65it/s]
4239it [00:51, 82.38it/s]
4248it [00:51, 81.43it/s]
4257it [00:52, 82.54it/s]
4266it [00:52, 84.51it/s]
4275it [00:52, 82.45it/s]
4284it [00:52, 84.01it/s]
4293it [00:52, 85.70it/s]
4303it [00:52, 87.61it/s]
4313it [00:52, 88.45it/s]
4322it [00:52, 85.64it/s]
4331it [00:52, 84.67it/s]
4340it [00:53, 83.97it/s]
4350it [00:53, 86.10it/s]
4360it [00:53, 87.83it/s]
4370it [00:53, 88.47it/s]
4380it [00:53, 90.23it/s]
4390it [00:53, 90.23it/s]
4400it [00:53, 89.69it/s]
4409it [00:53, 87.89it/s]
4418it [00:53, 86.07it/s]
4427it [00:53, 85.93it/s]
4436it [00:54, 84.65it/s]
4445it [00:54, 85.11it/s]
4455it [00:54, 87.93it/s]
4464it [00:54, 85.57it/s]
4474it [00:54, 86.07it/s]
4483it [00:54, 84.94it/s]
4493it [00:54, 86.72it/s]
4502it [00:54, 83.93it/s]
4511it [00:54, 84.79it/s]
4520it [00:55, 83.25it/s]
4529it [00:55, 84.56it/s]
4538it [00:55, 82.63it/s]
4549it [00:55, 86.78it/s]
4558it [00:55, 81.55it/s]
4568it [00:55, 84.90it/s]
4577it [00:55, 81.99it/s]
4586it [00:55, 80.87it/s]
4595it [00:55, 83.07it/s]
4604it [00:56, 81.32it/s]
4613it [00:56, 82.01it/s]
4622it [00:56, 80.81it/s]
4632it [00:56, 83.79it/s]
4641it [00:56, 84.11it/s]
4650it [00:56, 83.74it/s]
4659it [00:56, 82.40it/s]
4668it [00:56, 80.10it/s]
4678it [00:56, 82.74it/s]
4688it [00:57, 84.38it/s]
4697it [00:57, 84.45it/s]
4706it [00:57, 84.54it/s]
4715it [00:57, 84.32it/s]
4724it [00:57, 84.77it/s]
4734it [00:57, 85.99it/s]
4743it [00:57, 85.86it/s]
4752it [00:57, 86.91it/s]
4761it [00:57, 87.46it/s]
4772it [00:58, 92.81it/s]
4782it [00:58, 90.54it/s]
4792it [00:58, 91.15it/s]
4802it [00:58, 89.43it/s]
4811it [00:58, 87.35it/s]
4820it [00:58, 84.95it/s]
4829it [00:58, 85.75it/s]
4838it [00:58, 86.56it/s]
4849it [00:58, 89.92it/s]
4859it [00:59, 90.06it/s]
4869it [00:59, 91.78it/s]
4879it [00:59, 88.39it/s]
4889it [00:59, 90.89it/s]
4899it [00:59, 90.13it/s]
4909it [00:59, 89.75it/s]
4919it [00:59, 90.38it/s]
4929it [00:59, 85.88it/s]
4939it [00:59, 88.01it/s]
4948it [01:00, 88.32it/s]
4957it [01:00, 86.15it/s]
4966it [01:00, 84.09it/s]
4975it [01:00, 82.83it/s]
4984it [01:00, 79.76it/s]
4993it [01:00, 78.86it/s]
5002it [01:00, 80.77it/s]
5011it [01:00, 80.50it/s]
5021it [01:00, 84.46it/s]
5030it [01:01, 81.62it/s]
5040it [01:01, 85.33it/s]
5050it [01:01, 86.18it/s]
5059it [01:01, 84.59it/s]
5069it [01:01, 88.01it/s]
5079it [01:01, 88.45it/s]
5088it [01:01, 88.08it/s]
5098it [01:01, 89.67it/s]
5108it [01:01, 92.41it/s]
5118it [01:02, 89.96it/s]
5128it [01:02, 85.65it/s]
5137it [01:02, 84.92it/s]
5146it [01:02, 85.41it/s]
5155it [01:02, 84.30it/s]
5165it [01:02, 86.37it/s]
5174it [01:02, 87.18it/s]
5183it [01:02, 87.83it/s]
5192it [01:03, 59.44it/s]
5202it [01:03, 66.57it/s]
5212it [01:03, 73.02it/s]
5221it [01:03, 75.95it/s]
5230it [01:03, 77.30it/s]
5239it [01:03, 78.44it/s]
5248it [01:03, 81.19it/s]
5257it [01:03, 81.93it/s]
5266it [01:03, 81.00it/s]
5276it [01:04, 85.16it/s]
5286it [01:04, 87.81it/s]
5296it [01:04, 90.37it/s]
5306it [01:04, 91.21it/s]
5318it [01:04, 94.96it/s]
5328it [01:04, 89.95it/s]
5338it [01:04, 85.26it/s]
5348it [01:04, 87.18it/s]
5357it [01:04, 87.71it/s]
5367it [01:05, 88.02it/s]
5378it [01:05, 92.12it/s]
5388it [01:05, 92.57it/s]
5398it [01:05, 89.01it/s]
5407it [01:05, 88.51it/s]
5417it [01:05, 91.19it/s]
5427it [01:05, 89.66it/s]
5437it [01:05, 91.09it/s]
5447it [01:05, 89.38it/s]
5457it [01:06, 89.54it/s]
5466it [01:06, 85.44it/s]
5475it [01:06, 83.38it/s]
5484it [01:06, 84.65it/s]
5493it [01:06, 84.17it/s]
5504it [01:06, 89.59it/s]
5514it [01:06, 86.71it/s]
5523it [01:06, 85.53it/s]
5533it [01:06, 88.16it/s]
5542it [01:07, 88.14it/s]
5552it [01:07, 89.88it/s]
5562it [01:07, 92.46it/s]
5572it [01:07, 92.24it/s]
5582it [01:07, 91.19it/s]
5592it [01:07, 89.90it/s]
5602it [01:07, 92.33it/s]
5612it [01:07, 88.49it/s]
5622it [01:07, 90.58it/s]
5632it [01:08, 88.30it/s]
5643it [01:08, 91.53it/s]
5653it [01:08, 91.26it/s]
5663it [01:08, 90.46it/s]
5673it [01:08, 92.69it/s]
5683it [01:08, 86.73it/s]
5692it [01:08, 87.29it/s]
5701it [01:08, 85.15it/s]
5710it [01:08, 84.54it/s]
5720it [01:09, 86.48it/s]
5730it [01:09, 89.22it/s]
5739it [01:09, 87.70it/s]
5748it [01:09, 85.74it/s]
5757it [01:09, 83.62it/s]
5766it [01:09, 84.72it/s]
5775it [01:09, 83.55it/s]
5784it [01:09, 83.50it/s]
5795it [01:09, 87.56it/s]
5804it [01:09, 85.83it/s]
5813it [01:10, 85.67it/s]
5822it [01:10, 82.85it/s]
5832it [01:10, 84.63it/s]
5841it [01:10, 84.03it/s]
5851it [01:10, 87.81it/s]
5861it [01:10, 88.69it/s]
5870it [01:10, 84.32it/s]
5880it [01:10, 86.49it/s]
5890it [01:10, 87.80it/s]
5899it [01:11, 87.12it/s]
5908it [01:11, 84.64it/s]
5918it [01:11, 85.86it/s]
5927it [01:11, 84.45it/s]
5936it [01:11, 83.49it/s]
5946it [01:11, 87.42it/s]
5955it [01:11, 84.95it/s]
5964it [01:11, 83.54it/s]
5974it [01:11, 86.37it/s]
5983it [01:12, 84.80it/s]
5993it [01:12, 87.52it/s]
6003it [01:12, 89.94it/s]
6013it [01:12, 88.49it/s]
6023it [01:12, 89.64it/s]
6032it [01:12, 81.14it/s]
6041it [01:12, 82.16it/s]
6051it [01:12, 85.48it/s]
6060it [01:12, 83.67it/s]
6069it [01:13, 84.59it/s]
6078it [01:13, 84.58it/s]
6088it [01:13, 87.30it/s]
6097it [01:13, 85.70it/s]
6106it [01:13, 85.52it/s]
6115it [01:13, 83.42it/s]
6125it [01:13, 86.03it/s]
6134it [01:13, 84.62it/s]
6143it [01:13, 82.71it/s]
6152it [01:14, 84.51it/s]
6161it [01:14, 84.96it/s]
6170it [01:14, 85.40it/s]
6179it [01:14, 84.85it/s]
6188it [01:14, 84.92it/s]
6197it [01:14, 83.59it/s]
6206it [01:14, 83.79it/s]
6215it [01:14, 85.20it/s]
6224it [01:14, 84.94it/s]
6234it [01:15, 87.91it/s]
6244it [01:15, 89.03it/s]
6253it [01:15, 89.03it/s]
6263it [01:15, 89.22it/s]
6272it [01:15, 58.01it/s]
6282it [01:15, 64.51it/s]
6291it [01:15, 70.18it/s]
6300it [01:15, 72.24it/s]
6309it [01:16, 73.95it/s]
6319it [01:16, 79.40it/s]
6328it [01:16, 78.00it/s]
6337it [01:16, 79.55it/s]
6346it [01:16, 79.11it/s]
6356it [01:16, 83.49it/s]
6365it [01:16, 85.13it/s]
6375it [01:16, 86.38it/s]
6384it [01:16, 85.56it/s]
6393it [01:17, 85.46it/s]
6403it [01:17, 87.24it/s]
6413it [01:17, 89.43it/s]
6423it [01:17, 90.13it/s]
6433it [01:17, 88.88it/s]
6442it [01:17, 88.89it/s]
6452it [01:17, 90.02it/s]
6462it [01:17, 90.86it/s]
6472it [01:17, 88.42it/s]
6481it [01:18, 88.08it/s]
6490it [01:18, 87.57it/s]
6502it [01:18, 93.87it/s]
6512it [01:18, 90.47it/s]
6522it [01:18, 90.60it/s]
6532it [01:18, 91.22it/s]
6542it [01:18, 88.64it/s]
6551it [01:18, 87.59it/s]
6560it [01:18, 82.59it/s]
6570it [01:19, 84.84it/s]
6579it [01:19, 84.79it/s]
6590it [01:19, 88.82it/s]
6599it [01:19, 88.27it/s]
6608it [01:19, 86.86it/s]
6617it [01:19, 86.53it/s]
6626it [01:19, 84.37it/s]
6636it [01:19, 87.54it/s]
6646it [01:19, 88.87it/s]
6655it [01:19, 88.47it/s]
6665it [01:20, 91.09it/s]
6675it [01:20, 88.85it/s]
6685it [01:20, 89.68it/s]
6694it [01:20, 85.87it/s]
6703it [01:20, 85.16it/s]
6714it [01:20, 89.21it/s]
6724it [01:20, 91.08it/s]
6734it [01:20, 89.14it/s]
6743it [01:20, 87.93it/s]
6752it [01:21, 86.23it/s]
6761it [01:21, 86.89it/s]
6770it [01:21, 84.77it/s]
6779it [01:21, 84.53it/s]
6789it [01:21, 86.13it/s]
6799it [01:21, 87.64it/s]
6809it [01:21, 90.20it/s]
6819it [01:21, 90.09it/s]
6829it [01:21, 91.56it/s]
6839it [01:22, 91.51it/s]
6849it [01:22, 86.89it/s]
6858it [01:22, 85.60it/s]
6867it [01:22, 83.68it/s]
6876it [01:22, 84.02it/s]
6885it [01:22, 85.52it/s]
6894it [01:22, 85.18it/s]
6904it [01:22, 87.64it/s]
6913it [01:22, 82.97it/s]
6922it [01:23, 82.08it/s]
6932it [01:23, 85.18it/s]
6942it [01:23, 86.56it/s]
6951it [01:23, 86.91it/s]
6960it [01:23, 85.71it/s]
6969it [01:23, 86.88it/s]
6978it [01:23, 82.51it/s]
6988it [01:23, 85.87it/s]
6998it [01:23, 88.50it/s]
7007it [01:24, 85.01it/s]
7016it [01:24, 83.33it/s]
7026it [01:24, 87.27it/s]
7036it [01:24, 89.75it/s]
7046it [01:24, 92.20it/s]
7056it [01:24, 91.30it/s]
7066it [01:24, 91.65it/s]
7076it [01:24, 91.57it/s]
7086it [01:24, 88.31it/s]
7095it [01:25, 84.88it/s]
7104it [01:25, 83.45it/s]
7113it [01:25, 81.77it/s]
7122it [01:25, 81.06it/s]
7132it [01:25, 85.20it/s]
7141it [01:25, 86.47it/s]
7150it [01:25, 83.85it/s]
7161it [01:25, 89.63it/s]
7172it [01:25, 93.90it/s]
7182it [01:26, 86.86it/s]
7191it [01:26, 84.82it/s]
7200it [01:26, 85.41it/s]
7209it [01:26, 84.23it/s]
7218it [01:26, 83.32it/s]
7227it [01:26, 83.09it/s]
7236it [01:26, 81.06it/s]
7245it [01:26, 82.22it/s]
7254it [01:26, 83.70it/s]
7263it [01:27, 82.55it/s]
7272it [01:27, 79.56it/s]
7282it [01:27, 83.46it/s]
7291it [01:27, 82.87it/s]
7300it [01:27, 81.36it/s]
7309it [01:27, 81.96it/s]
7319it [01:27, 58.67it/s]
7327it [01:27, 62.27it/s]
7336it [01:28, 67.71it/s]
7346it [01:28, 74.10it/s]
7355it [01:28, 75.76it/s]
7364it [01:28, 76.58it/s]
7374it [01:28, 80.56it/s]
7384it [01:28, 83.00it/s]
