Epoch,Loss,F1,Cannot Answer Accuracy
1,13.59668,53.204,77.195
2,13.06798,58.993,80.511
3,12.75509,60.433,81.12
4,12.55982,62.023,82.078
5,12.41199,62.323,81.926
6,12.299,63.23,81.667
7,12.19124,63.759,82.382
8,12.1,63.76,81.956
9,12.013,64.832,82.702
10,11.93841,63.896,83.371
11,11.02612,63.895,83.417
12,10.947,62.83,81.698
13,10.8845,62.88,82.474
14,10.81,62.221,81.318
15,10.756,62.738,82.732
16,10.685,62.219,81.439
17,10.62,62.73,82.23
18,10.566,62.973,82.261
